review,sentiment,processed_text
"Why would this film be so good, but only gross an estimated $95,000,000 and have NO award nominations? John Travolta knows what he's doing. He knows he's Michael, a cigar smoking, womanizing, magical arch angel that came down to live with a dying lady and is now in a car with the staff of ""The National Mirror"" and their dog, Sparky, on the way to Chicago. It then turns into a road trip that's both horrible AND great. I don't even think the death scenes (3 to be exact) make this a tearjerker. The soundtrack is the best with ""Heaven Is My Home"", ""Up Around The Bend"", and ""Chains Of Fools"". I have very great expectations about this and I say that it should have had a little more respect in the 90's. Read my comment. Bye!",positive,why would this film be so good but only gross an estimate and have no award nominations john travolta know what he do he know he michael a cigar smoke womanize magical arch angel that come down to live with a die lady and be now in a car with the staff of the national mirror and their dog sparky on the way to chicago it then turn into a road trip that both horrible and great i do even think the death scenes to be exact make this a tearjerker the soundtrack be the best with heaven be my home up around the bend and chain of fool i have very great expectations about this and i say that it should have have a little more respect in the read my comment bye
"The name ""cult movie"" is often given to films which continue to be screened, or to sell in home movie format, more than a generation after they were first released. Superchick, which was first released in 1973, now comes into this category. Its cult status is largely due to ongoing interest in it by those women who regard it as an early and effective feminist film.<br /><br />Despite the ""Superwoman"" connotation, ""Superchick"" is not a cartoon character but a very competent young lady working as an air stewardess - a career option which in the 1970's was commonly regarded as one of the most glamorous open to any girl, and which also enables her to emulate the traditional matelot who reputedly has a wife in every port. Since she holds black belt status in karate, she is in a position to make it quite clear that she is very happy with her bachelor existence, and is in no way beholden to any of her extensive suite of male admirers. This film is a situation comedy which avoids the generally much shorter lived appeal of outright farce. Its appeal to feminists is also heightened by a climax in which our heroine uses her karate abilities to avert a hijacking and save all the other passengers on her plane from a potentially unpleasant fate. To ensure that this film will appeal to men as well as to their partners, the Director has wisely ensured that is liberally sprinkled with eye candy.<br /><br />Superchick can be enjoyed by those who are not too critical and want a very light easy to watch comedy which they will forget soon after viewing. It is so forgettable that they will probably find it equally enjoyable if watched again in a year's time; despite its age it may therefore retain its status as a cult movie for some time to come. However the dialogue and acting would make it hard to give this film a rating of more than 4/10.",negative,the name cult movie be often give to film which continue to be screen or to sell in home movie format more than a generation after they be first release superchick which be first release in now come into this category its cult status be largely due to ongoing interest in it by those women who regard it as an early and effective feminist br br despite the superwoman connotation superchick be not a cartoon character but a very competent young lady work as an air stewardess a career option which in the be commonly regard as one of the most glamorous open to any girl and which also enable her to emulate the traditional matelot who reputedly have a wife in every port since she hold black belt status in karate she be in a position to make it quite clear that she be very happy with her bachelor existence and be in no way behold to any of her extensive suite of male admirers this film be a situation comedy which avoid the generally much shorter live appeal of outright farce its appeal to feminists be also heighten by a climax in which our heroine use her karate abilities to avert a hijack and save all the other passengers on her plane from a potentially unpleasant fate to ensure that this film will appeal to men as well as to their partner the director have wisely ensure that be liberally sprinkle with eye br br superchick can be enjoy by those who be not too critical and want a very light easy to watch comedy which they will forget soon after view it be so forgettable that they will probably find it equally enjoyable if watch again in a year time despite its age it may therefore retain its status as a cult movie for some time to come however the dialogue and act would make it hard to give this film a rat of more than
"Another stinker from the PM Entertainment group, and thankfully one of their last.<br /><br />'Firetrap' is effectively a very low budgeted remake of 'The Towering Inferno' I don't mind Low budget B Movies as long as some effort is put into them - there is no effort whatsoever in 'Firetrap' is stars Dean'Superman'Cain, who is an absolutely terrible actor, seriously he has all the acting abilities of a porn star, but he turns out to be the best actor here and that's saying something, the rest are just a bunch of no hopers given the boot from various daytime soaps. The special FX are just rubbish, shots showing the burning building from the ground are among the worst I've ever seen, the fire looks like someone scribbled an orange pen at the front of the camera. on top of that there is not one character you actually root for - you hate everyone and hope they all die well before the 90 minutes are up.<br /><br />The script is embarrassing - The red herring's are signposted well in advance, someone else has mentioned this but 'The scene where the janitor fights off a blazing fire engulfing the building with his broom....hilarious, or same janitor going into a room marked 'Hazardous Material', Were these scenes supposed to be tongue-in-cheek? somehow I doubt it<br /><br />The one good point and only one good point was there was a fair bit of action in amongst the daytime soap dramatics which kept my attention, but so little care was given to everything in the film, I can't recommend it - Watch 'The Towering Inferno' instead<br /><br />3/10",negative,another stinker from the pm entertainment group and thankfully one of their br br be effectively a very low budget remake of tower inferno i do mind low budget b movies as long as some effort be put into them there be no effort whatsoever in be star who be an absolutely terrible actor seriously he have all the act abilities of a porn star but he turn out to be the best actor here and that say something the rest be just a bunch of no hopers give the boot from various daytime soap the special fx be just rubbish shots show the burn build from the grind be among the worst i ever see the fire look like someone scribble an orange pen at the front of the camera on top of that there be not one character you actually root for you hate everyone and hope they all die well before the minutes be br br the script be embarrass the red herring be signpost well in advance someone else have mention this but scene where the janitor fight off a blaze fire engulf the build with his broom hilarious or same janitor go into a room mark material be these scenes suppose to be somehow i doubt it br br the one good point and only one good point be there be a fair bite of action in amongst the daytime soap dramatics which keep my attention but so little care be give to everything in the film i ca recommend it watch tower inferno instead br br
"It really isn't hard to understand this movie! I watched it with no expectations and no knowledge of the story from the games. I was completely blown away!<br /><br />Initially, I wondered how most of the characters have some sort of super-powers but it IS called ""Final FANTASY..."". I also wondered about Cloud's past but that was easy enough to look up. In no way did these questions spoil the enjoyment of the movie, though. Just the opposite; it shows I kept thinking about the story long after seeing the movie.<br /><br />It's one of the most beautiful movies my eyes have ever seen. The music supports the movie completely. The characters are incredible. <br /><br />I want more!",positive,it really be hard to understand this movie i watch it with no expectations and no knowledge of the story from the game i be completely blow away br br initially i wonder how most of the character have some sort of but it be call final fantasy i also wonder about cloud past but that be easy enough to look up in no way do these question spoil the enjoyment of the movie though just the opposite it show i keep think about the story long after see the br br it one of the most beautiful movies my eye have ever see the music support the movie completely the character be incredible br br i want more
"Make no mistake, Maureen O'Sullivan is easily the most gorgeous Jane ever, and there will never be one more gorgeous. She is visually stunning. That aside, it takes more than a beautiful woman to make a good film. This is a great film. It not only has the classic Tarzan aura, but also the feel of the continuing saga. We become involved with the two white hunters who search for ivory, one of them in love with Jane, the other, a roguish catalyst whose character may be one of the best defined and best examined in movie history.And these characterizations are what make this great action flick stand out as a classic. There is the uncomfortable racism which is depicted. However, the Africans are depicted as individuals, and at the end, two even become more heroic than the white hunters, and stand out as such. In fact, the one not named evokes probably more sympathy from the audience than any other characters. The finale, also, is one of the reasons to enjoy this movie. The great lion attack has never been duplicated, and the horror is well implied with character reactions more so than a modern gore movie would do with graphic depiction. If I left anything out, it is because I do not want to soil the picture for those who haven't seen it. But it is everything you could want in a movie.",positive,make no mistake maureen be easily the most gorgeous jane ever and there will never be one more gorgeous she be visually stun that aside it take more than a beautiful woman to make a good film this be a great film it not only have the classic tarzan aura but also the feel of the continue saga we become involve with the two white hunters who search for ivory one of them in love with jane the other a roguish catalyst whose character may be one of the best define and best examine in movie these characterizations be what make this great action flick stand out as a classic there be the uncomfortable racism which be depict however the africans be depict as individuals and at the end two even become more heroic than the white hunters and stand out as such in fact the one not name evoke probably more sympathy from the audience than any other character the finale also be one of the reason to enjoy this movie the great lion attack have never be duplicate and the horror be well imply with character reactions more so than a modern gore movie would do with graphic depiction if i leave anything out it be because i do not want to soil the picture for those who have see it but it be everything you could want in a movie
"A quiet, sweet and beutifully nostalgic movie on how it is to be confronted with old friends and surroundings from your youth with all that memories and the problems and sorrows of the present with you. A movie that makes you feel good. All the ingredients are here: old jelousy, rivalry, friendship and loyalty. Mischief, nightly fridge-raids and all the other fun stuff that we all remember from our summer camps. All the characters get the opportunity for a week to experience this again as the old camp-leader now is retiring and want to meet the children from the golden years of the camp. All of them are now in their thirties and in the middle of their careers.",positive,a quiet sweet and beutifully nostalgic movie on how it be to be confront with old friends and surroundings from your youth with all that memories and the problems and sorrow of the present with you a movie that make you feel good all the ingredients be here old jelousy rivalry friendship and loyalty mischief nightly and all the other fun stuff that we all remember from our summer camp all the character get the opportunity for a week to experience this again as the old now be retire and want to meet the children from the golden years of the camp all of them be now in their thirties and in the middle of their career
"This is the kind of film one initially selects to make up the numbers from video rental.....only to discover an under-rated entertaining and enjoyable movie!! The opening sequence of the police arriving at a dark and rainy house wherein the ""wife"" has committed murder.......or is it??....and the remainder of the film seeks to unravel what really happened....OK...the film is a bit ""campy""...but has good editing and dialogue.....professional acting.....often humorous......and the very last scene with the facial expression is one of the best of its' kind......definitely worth watching.....deserving at least a 7 or an 8!",positive,this be the kind of film one initially select to make up the number from video rental only to discover an entertain and enjoyable movie the open sequence of the police arrive at a dark and rainy house wherein the wife have commit murder or be it and the remainder of the film seek to unravel what really happen ok the film be a bite campy but have good edit and dialogue professional act often humorous and the very last scene with the facial expression be one of the best of its kind definitely worth watch deserve at least a or an
"Reasonably effective horror/science-fiction a la ""Alien"" is fairly well done given its limited ambitions. Some nice special effects and well paced action sequences adequately patch the cracks in the rather tiresome dialogue. When a space craft crash lands on a remote planet the survivors soon become aware that a hideous terror awaits them in the dark of the upcoming total eclipse.",positive,reasonably effective a la alien be fairly well do give its limit ambition some nice special effect and well pace action sequence adequately patch the crack in the rather tiresome dialogue when a space craft crash land on a remote planet the survivors soon become aware that a hideous terror await them in the dark of the upcoming total eclipse
"Lifeforce (1985) was a Cannon funded film directed by Tobe Hooper. It's a very interesting film that deals with a pair of space vampires who are accidentally brought back down to Earth during the latest space shuttle mission. Steve Railsback stars as the sole survivor of the tragedy. But really folks the movie is a mere showcase for the natural beauty of Mathilda May. She's one smoking hot number. The director was a huge fan of Female Vampire (a.k.a. Erotikill). Miss May recreates Lina Romay's title role The film is beautifully photographed and directed. There's plenty of gore effects to keep genres fans happy.<br /><br />I have to give this film a very high rating. Tobe Hooper was the man. He made three interesting films for Cannon during this time period (Texas Chainsaw Massacre II and Invaders from Mars as well). If you like science fiction/horror films, Tobe Hooper films or Mathilda May this film's just up your alley.<br /><br />Highest Recommendation!<br /><br />Did I mention Mathilda May is smoking hot?",positive,lifeforce be a cannon fund film direct by tobe hooper it a very interest film that deal with a pair of space vampires who be accidentally bring back down to earth during the latest space shuttle mission steve railsback star as the sole survivor of the tragedy but really folks the movie be a mere showcase for the natural beauty of mathilda may she one smoke hot number the director be a huge fan of female vampire erotikill miss may recreate lina romay title role the film be beautifully photograph and direct there plenty of gore effect to keep genres fan br br i have to give this film a very high rat tobe hooper be the man he make three interest film for cannon during this time period texas chainsaw massacre ii and invaders from mar as well if you like science film tobe hooper film or mathilda may this film just up your br br highest recommendation br br do i mention mathilda may be smoke hot
"A very gritty, gutsy portrayal of a part of world war 2 history, that most of us in the U.S. had/have no idea ever occurred. I would love to have this on video. It only was shown on t.v. one time as far as I know, back in 89or 90. I have asked around for this movie, and most video stores don't even know about it. Great actresses all around, Wish that I could see it again. Top notch series.",positive,a very gritty gutsy portrayal of a part of world war history that most of us in the no idea ever occur i would love to have this on video it only be show on one time as far as i know back in i have ask around for this movie and most video store do even know about it great actresses all around wish that i could see it again top notch series
"There have been many movies about people returning home from wars and having to cope, but ""The War at Home"" is worth seeing. Portraying Vietnam vet Jeremy Collier (Emilio Estevez) having trouble connecting with his Texas family, much of the movie is very likely to tense you up. But nothing can prepare you for what ends up getting revealed.<br /><br />Part of what makes this movie so good is how it gives the viewer the feeling of both Texas and of the generation gap. Jeremy's parents Bob (Martin Sheen) and Maurine (Kathy Bates) clearly have a problem with their son's attitude, both about the war and his rejection of Americanism. His sister Karen (Kimberly Williams) is uncertain with whom to side. But after the dinner, there can be no neutrality.<br /><br />So, we as Americans may never be able to fully get over the Vietnam War, but this movie can probably help us look seriously at how it affected so many people. Emilio Estevez certainly did a good job directing. Also starring Corin Nemec and Carla Gugino.",positive,there have be many movies about people return home from war and have to cope but the war at home be worth see portray vietnam vet jeremy collier emilio estevez have trouble connect with his texas family much of the movie be very likely to tense you up but nothing can prepare you for what end up get br br part of what make this movie so good be how it give the viewer the feel of both texas and of the generation gap jeremy parent bob martin sheen and maurine kathy bat clearly have a problem with their son attitude both about the war and his rejection of americanism his sister karen kimberly williams be uncertain with whom to side but after the dinner there can be no br br so we as americans may never be able to fully get over the vietnam war but this movie can probably help us look seriously at how it affect so many people emilio estevez certainly do a good job direct also star corin nemec and carla gugino
"Another ""must have"" film. Henry Brandon is a favorite! I was so surprised when I learned years ago that he was from Germany because he sounds & looks so typically American! And wasn't he great in ""The Searchers"" as Chief Scar??!! Another of my favorites, I have it & watch it over & again. Now if I could add this one to my collection, it would make my day! This is a great wildlife story & film for all ages. The scenery is so absolutely beautiful & the plight of the endangered snow leopards is told with such great emotion it will spark the interest in endangered species in anyone, especially children. If I could I would give a copy to all of my grands & great grands!",positive,another must have film henry brandon be a favorite i be so surprise when i learn years ago that he be from germany because he sound look so typically american and be he great in the searchers as chief scar another of my favorites i have it watch it over again now if i could add this one to my collection it would make my day this be a great wildlife story film for all age the scenery be so absolutely beautiful the plight of the endanger snow leopards be tell with such great emotion it will spark the interest in endanger species in anyone especially children if i could i would give a copy to all of my grands great grands
"a very good episode, although not as devastating a finale as the end of season 1. The idea to make it a Desmond flashback worked very well, and Henry Ian Cusick was fantastic, perhaps putting in the best performance of this entire series, but my only complaint would be the Michael plot line felt very much like a subplot, and after three minutes the previous episode, i thought it would feature more. But the strength of Cusicks character and performance pulled it through. the plot developments, as always, left more questions then answers, like who are the others, something we still don't know, and where are they taking jack, Sawyer and Kate. What was the white light, what impact has it had? Are Locke, Eko and Desmond dead? as the hatch destructed around them. If they are it would be a major mistake, because these three are the most interesting characters and the series would suffer without them and Terry O'Quinn has been fantastic throughout both series as Locke. A fitting finale to a better series then the first.",positive,a very good episode although not as devastate a finale as the end of season the idea to make it a desmond flashback work very well and henry ian cusick be fantastic perhaps put in the best performance of this entire series but my only complaint would be the michael plot line felt very much like a subplot and after three minutes the previous episode i think it would feature more but the strength of cusicks character and performance pull it through the plot developments as always leave more question then answer like who be the others something we still do know and where be they take jack sawyer and kate what be the white light what impact have it have be locke eko and desmond dead as the hatch destruct around them if they be it would be a major mistake because these three be the most interest character and the series would suffer without them and terry have be fantastic throughout both series as locke a fit finale to a better series then the first
"I must admit a slight disappointment with this film; I had read a lot about how spectacular it was, yet the actual futuristic sequences, the Age of Science, take up a very small amount of the film. The sets and are excellent when we get to them, and there are some startling images, but this final sequence is lacking in too many other regards...<br /><br />Much the best drama of the piece is in the mid-section, and then it plays as melodrama, arising from the 'high concept' science-fiction nature of it all, and insufficiently robust dialogue. There is far more human life in this part though, with the great Ralph Richardson sailing gloriously over-the-top as the small dictator, the ""Boss"" of the Everytown. I loved Richardson's mannerisms and curt delivery of lines, dismissing the presence and ideas of Raymond Massey's aloof, confident visitor. This Boss is a posturing, convincingly deluded figure, unable to realise the small-fry nature of his kingdom... It's not a great role, yet Richardson makes a lot of it.<br /><br />Everytown itself is presumably meant to be England, or at least an English town fairly representative of England. Interesting was the complete avoidance of any religious side to things; the 'things to come' seem to revolve around a conflict between warlike barbarism and a a faith in science that seems to have little ultimate goal, but to just go on and on. There is a belated attempt to raise some arguments and tensions in the last section, concerning more personal 'life', yet one is left quite unsatisfied. The film hasn't got much interest in subtle complexities; it goes for barnstorming spectacle and unsubtle, blunt moralism, every time. And, of course, recall the hedged-bet finale: Raymond Massey waxing lyrical about how uncertain things are! <br /><br />Concerning the question of the film being a prediction: I must say it's not at all bad as such, considering that one obviously allows that it is impossible to gets the details of life anything like right. The grander conceptions have something to them; a war in 1940, well that was perhaps predictable... Lasting nearly 30 years, mind!? A nuclear bomb - the ""super gun"" or some such contraption - in 2036... A technocratic socialist ""we don't believe in independent nation states""-type government, in Britain, after 1970... Hmmm, sadly nowhere near on that one, chaps! ;-) No real politics are gone into here which is a shame; all that surfaces is a very laudable anti-war sentiment. Generally, it is assumed that dictatorship - whether boneheaded-luddite-fascist, as under the Boss, or all-hands-to-the-pump scientific socialism - will *be the deal*, and these implications are not broached... While we must remember that in 1936, there was no knowledge at all of how Nazism and Communism would turn out - or even how they were turning out - the lack of consideration of this seems meek beside the scope of the filmmakers' vision on other matters.<br /><br />Much of the earlier stuff should - and could - have been cut in my opinion; only the briefest stuff from '1940' would have been necessary, yet this segment tends to get rather ponderous, and it is ages before we get to the Richardson-Massey parts. I would have liked to have seen more done with Margareta Scott; who is just a trifle sceptical, cutting a flashing-eyed Mediterranean figure to negligible purpose. The character is not explored, or frankly explained or exploited, except for one scene which I shall not spoil, and her relationship with the Boss isn't explored; but then this was the 1930s, and there was such a thing as widespread institutional censorship back then. Edward Chapman is mildly amusing in his two roles; more so in the first as a hapless chap, praying for war, only to be bluntly put down by another Massey character. Massey himself helps things a lot, playing his parts with a mixture of restraint and sombre gusto, contrasting well with a largely diffident cast, save for Richardson, and Scott and Chapman, slightly.<br /><br />I would say that ""Things to Come"" is undoubtedly a very extraordinary film to have been made in Britain in 1936; one of the few serious British science fiction films to date, indeed! Its set (piece) design and harnessing of resources are ravenous, marvellous. <br /><br />Yet, the script is ultimately over-earnest and, at times, all over the place. The direction is prone to a flatness, though it does step up a scenic gear or two upon occasion. The cinematographer and Mr Richardson really do salvage things however; respectively creating an awed sense of wonder at technology, and an engaging, jerky performance that consistently beguiles. Such a shame there is so little substance or real filmic conception to the whole thing; Powell and Pressburger would have been the perfect directors to take on such a task as this - they are without peer among British directors as daring visual storytellers, great helmsmen of characters and dealers in dialogue of the first rate.<br /><br />""Things to Come"", as it stands, is an intriguing oddity, well worth perusing, yet far short of a ""Metropolis""... 'Tis much as ""silly"", in Wells' words, as that Lang film, yet with nothing like the astonishing force of it.",positive,i must admit a slight disappointment with this film i have read a lot about how spectacular it be yet the actual futuristic sequence the age of science take up a very small amount of the film the set and be excellent when we get to them and there be some startle image but this final sequence be lack in too many other regard br br much the best drama of the piece be in the and then it play as melodrama arise from the concept nature of it all and insufficiently robust dialogue there be far more human life in this part though with the great ralph richardson sail gloriously as the small dictator the boss of the everytown i love richardson mannerisms and curt delivery of line dismiss the presence and ideas of raymond massey aloof confident visitor this boss be a posture convincingly delude figure unable to realise the nature of his kingdom it not a great role yet richardson make a lot of br br everytown itself be presumably mean to be england or at least an english town fairly representative of england interest be the complete avoidance of any religious side to things the to come seem to revolve around a conflict between warlike barbarism and a a faith in science that seem to have little ultimate goal but to just go on and on there be a belated attempt to raise some arguments and tensions in the last section concern more personal yet one be leave quite unsatisfied the film have get much interest in subtle complexities it go for barnstorm spectacle and unsubtle blunt moralism every time and of course recall the finale raymond massey wax lyrical about how uncertain things be br br concern the question of the film be a prediction i must say it not at all bad as such consider that one obviously allow that it be impossible to get the detail of life anything like right the grander conceptions have something to them a war in well that be perhaps predictable last nearly years mind a nuclear bomb the super gun or some such contraption in a technocratic socialist we do believe in independent nation state government in britain after hmmm sadly nowhere near on that one chap no real politics be go into here which be a shame all that surface be a very laudable sentiment generally it be assume that dictatorship whether as under the boss or scientific socialism will be the deal and these implications be not broach while we must remember that in there be no knowledge at all of how nazism and communism would turn out or even how they be turn out the lack of consideration of this seem meek beside the scope of the filmmakers vision on other br br much of the earlier stuff should and could have be cut in my opinion only the briefest stuff from would have be necessary yet this segment tend to get rather ponderous and it be age before we get to the part i would have like to have see more do with margareta scott who be just a trifle sceptical cut a mediterranean figure to negligible purpose the character be not explore or frankly explain or exploit except for one scene which i shall not spoil and her relationship with the boss be explore but then this be the and there be such a thing as widespread institutional censorship back then edward chapman be mildly amuse in his two roles more so in the first as a hapless chap pray for war only to be bluntly put down by another massey character massey himself help things a lot play his part with a mixture of restraint and sombre gusto contrast well with a largely diffident cast save for richardson and scott and chapman br br i would say that things to come be undoubtedly a very extraordinary film to have be make in britain in one of the few serious british science fiction film to date indeed its set piece design and harness of resources be ravenous marvellous br br yet the script be ultimately and at time all over the place the direction be prone to a flatness though it do step up a scenic gear or two upon occasion the cinematographer and mr richardson really do salvage things however respectively create an awe sense of wonder at technology and an engage jerky performance that consistently beguile such a shame there be so little substance or real filmic conception to the whole thing powell and pressburger would have be the perfect directors to take on such a task as this they be without peer among british directors as dare visual storytellers great helmsmen of character and dealers in dialogue of the first br br things to come as it stand be an intrigue oddity well worth peruse yet far short of a metropolis be much as silly in well word as that lang film yet with nothing like the astonish force of it
